customer_id,firstname,lastname,dob,gender,street,city,region,transaction_id,date,time,Numberofitems,totalrevenue,totalwholesalecost
151.0,Gregory,Dillon,1950-04-04,Male,87/23 Campbell Glade,St. Susanshire,Tasmania,80f40249-8a36-49b7-9746-569ebc72cf3d,2023-01-01,07:27:58,6,1065.6,779.26
256.0,Jeremiah,Colon,1968-12-22,Male,582 Jonathan Villas,Santostown,Northern Territory,aa153b44-9a3c-4435-a54d-0b7125785400,2023-01-01,09:28:37,2,927.5,911.0
257.0,Tony,Bray,2009-02-06,Male,64 Walker Route,Aaronfort,Northern Territory,a33230bf-c539-4213-81d7-896c46e0b51b,2023-01-01,09:50:15,2,625.0,399.2
345.0,Katherine,Jordan,1965-08-11,Female,Apt. 943 018 Walls Run,Coltonfurt,New South Wales,89cba88c-143c-41d1-a7a8-51032c5a8da3,2023-01-01,12:32:24,8,2782.0,1761.09
189.0,David,Williams,2004-05-18,Male,Unit 79 264 Priscilla Heights,Jacquelineville,South Australia,77f96750-4f93-4efd-beb3-36410994d931,2023-01-01,15:01:24,5,1310.0,796.21
100.0,Alex,Huffman,2006-03-07,Male,640 Rebecca Boulevard,Jessicafort,New South Wales,8bfb3fa7-1e3b-4464-86f0-8b06f8d934a4,2023-01-01,16:32:25,9,2864.4,2689.63
380.0,Julie,Williams,1961-01-17,Female,Flat 24 82 Amanda Road,East Patrick,Victoria,3fc688bf-15a0-4f7d-811c-ae883a7055ff,2023-01-01,17:49:28,9,1802.0,1155.03
105.0,Lisa,Washington,1963-04-22,Female,Flat 77 037 Hernandez Promenade,Port Richard,Victoria,2fa92d19-c1bf-43a0-a8da-10c929638659,2023-01-01,17:49:49,5,1176.7,994.71
185.0,Craig,Walters,2005-05-27,Male,724 Derek Parklands,East Jennifer,Queensland,57796286-010c-4a5a-8ce4-6061e512cf87,2023-01-02,01:36:39,6,1726.2,1208.67
304.0,Charles,Flores,1947-02-27,Male,09 Dixon Trail,South Joseville,South Australia,4c27df07-dd7b-4d7b-b327-efffcee23dcc,2023-01-02,04:13:38,4,877.8,779.59
195.0,Kim,West,1982-04-05,Female,Apt. 227 0 Smith Quadrangle,Lake Emily,Western Australia,f4eacaa8-c0cb-43fb-af0f-19707fb2b69f,2023-01-02,04:32:48,7,2059.0,1262.58
258.0,Sandra,Booker,1969-12-16,Female,91 Flores Gully,Lake Katherineview,South Australia,fe177a0c-beda-4105-8101-b26293d8d2bb,2023-01-02,05:25:41,9,3251.2,2622.05
347.0,Sharon,Smith,1979-03-22,Female,Flat 18 591 Spears Alleyway,Sierrastad,Victoria,fd70c563-5ba9-44d8-96e2-1f05886084ed,2023-01-02,05:50:23,3,1805.4,1173.69
